Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,
M Muralidaran (ICC/SL),1992-2010,133,230,44039,7339.5,1794,18180,800,22.72,2.47,55.04,45,67,
SK Warne (AUS),1992-2007,145,273,40705,6784.1,1761,17995,708,25.41,2.65,57.49,48,37,
JM Anderson (ENG),2003-2023,183,341,39217,6536.1,1700,18234,690,26.42,2.78,56.83,32,32,
A Kumble (IND),1990-2008,132,236,40850,6808.2,1576,18355,619,29.65,2.69,65.99,31,35,
SCJ Broad (ENG),2007-2023,167,309,33698,5616.2,1304,16719,604,27.68,2.97,55.79,28,20,
GD McGrath (AUS),1993-2007,124,243,29248,4874.4,1470,12186,563,21.64,2.49,51.95,28,29,
CA Walsh (WI),1984-2001,132,242,30019,5003.1,1144,12688,519,24.44,2.53,57.84,32,22,
NM Lyon (AUS),2011-2024,126,236,32140,5356.4,1025,15766,512,30.79,2.94,62.77,23,23,
R Ashwin (IND),2011-2023,95,179,25227,4204.3,877,11610,490,23.69,2.76,51.48,24,34,
DW Steyn (SA),2004-2019,93,171,18608,3101.2,660,10077,439,22.95,3.24,42.38,27,26,
N Kapil Dev (IND),1978-1994,131,227,27740,4623.2,1060,12867,434,29.64,2.78,63.91,17,23,
HMRKB Herath (SL),1999-2018,93,170,25993,4332.1,814,12157,433,28.07,2.8,60.03,20,34,
Sir RJ Hadlee (NZ),1973-1990,86,150,21918,-,809,9611,431,22.29,2.63,50.85,25,36,
SM Pollock (SA),1995-2008,108,202,24353,4058.5,1222,9733,421,23.11,2.39,57.84,23,16,
Harbhajan Singh (IND),1998-2015,103,190,28580,4763.2,871,13537,417,32.46,2.84,68.53,16,25,
Wasim Akram (PAK),1985-2002,104,181,22627,3771.1,871,9779,414,23.62,2.59,54.65,20,25,
CEL Ambrose (WI),1988-2000,98,179,22103,3683.5,1001,8501,405,20.99,2.3,54.57,21,22,
M Ntini (SA),1998-2009,101,190,20834,3472.2,759,11242,390,28.82,3.23,53.42,19,18,
IT Botham (ENG),1977-1992,102,168,21815,-,788,10878,383,28.4,2.99,56.95,17,27,
MD Marshall (WI),1978-1991,81,151,17584,2930.4,614,7876,376,20.94,2.68,46.76,19,22,
TG Southee (NZ),2008-2023,96,182,21851,3641.5,843,10827,374,28.94,2.97,58.42,19,15,
Waqar Younis (PAK),1989-2003,87,154,16224,2704,516,8788,373,23.56,3.25,43.49,28,22,
Imran Khan (PAK),1971-1992,88,142,19458,-,727,8258,362,22.81,2.54,53.75,17,23,
DL Vettori (ICC/NZ),1997-2014,113,187,28814,4802.2,1197,12441,362,34.36,2.59,79.59,19,20,
DK Lillee (AUS),1971-1984,70,132,18467,-,652,8493,355,23.92,2.75,52.01,23,23,
WPUJC Vaas (SL),1994-2009,111,194,23438,3906.2,895,10501,355,29.58,2.68,66.02,20,12,
MA Starc (AUS),2011-2024,86,164,16874,2812.2,542,9589,348,27.55,3.4,48.48,19,14,
AA Donald (SA),1992-2002,72,129,15519,2586.3,661,7344,330,22.25,2.83,47.02,11,20,
RGD Willis (ENG),1971-1984,90,165,17357,-,554,8190,325,25.2,2.83,53.4,12,16,
TA Boult (NZ),2011-2022,78,149,17417,2902.5,656,8717,317,27.49,3,54.94,18,10,
